Family Number	Protein Family
147	ABC transporter superfamily. ABCG family. Stunted arbuscule (STR) subfamily
148	ABC transporter superfamily. ABCH family
149	ABC transporter superfamily. ABCI family
150	ABC transporter superfamily. AI-2 autoinducer porter (TC 3.A.1.2.8) family
151	ABC transporter superfamily. Aliphatic sulfonates importer (TC 3.A.1.17.2) family
152	ABC transporter superfamily. Alkaline protease exporter (TC 3.A.1.110.4) family
153	ABC transporter superfamily. Alpha-factor sex pheromone exporter (TC 3.A.1.206) family
154	ABC transporter superfamily. Arabinose importer (TC 3.A.1.2.2) family
155	ABC transporter superfamily. Bacteriocin (lactococcin) exporter (TC 3.A.1.112.3) family
156	ABC transporter superfamily. Beta- (1-->2)glucan exporter (TC 3.A.1.108.1) family
157	ABC transporter superfamily. Carbohydrate importer 2 (CUT2) (TC 3.A.1.2) family
158	ABC transporter superfamily. Carbohydrate uptake transporter-1 (CUT1) (TC 3.A.1.1) family
159	ABC transporter superfamily. CcmA exporter (TC 3.A.1.107) family
160	ABC transporter superfamily. Cobalt importer (TC 3.A.1.18.1) family
161	ABC transporter superfamily. Colicin V exporter (TC 3.A.1.110.2) family
162	ABC transporter superfamily. Competence factor exporter (TC 3.A.1.112.1) family
163	ABC transporter superfamily. Cyclolysin exporter (TC 3.A.1.109.2) family
164	ABC transporter superfamily. Cysteine exporter (TC 3.A.1.129.1) family
165	ABC transporter superfamily. D-allose importer (TC 3.A.1.2.6) family
166	ABC transporter superfamily. Drug exporter-1 (DrugE1) (TC 3.A.1.105) family
167	ABC transporter superfamily. Drug exporter-2 (TC 3.A.1.117) family
168	ABC transporter superfamily. Energy-coupling factor EcfA family
169	ABC transporter superfamily. Fe(3+) ion importer (TC 3.A.1.10) family
170	ABC transporter superfamily. Galactose/methyl galactoside importer (TC 3.A.1.2.3) family
171	ABC transporter superfamily. Glutathione importer (TC 3.A.1.5.11) family
172	ABC transporter superfamily. Heme (hemin) importer (TC 3.A.1.14.5) family
173	ABC transporter superfamily. HlyB family
174	ABC transporter superfamily. HrtA family
175	ABC transporter superfamily. Iron (Fe3+)- hydroxamate importer (TC 3.A.1.14.7) family
176	ABC transporter superfamily. L-cystine importer (TC 3.A.1.3.13) family
177	ABC transporter superfamily. L-cystine importer (TC 3.A.1.3.14) family
178	ABC transporter superfamily. LagD family
179	ABC transporter superfamily. Lipid exporter (TC 3.A.1.106) family
180	ABC transporter superfamily. Lipooligosaccharide exporter (TC 3.A.1.102) family
181	ABC transporter superfamily. Lipoprotein translocase (TC 3.A.1.125) family
182	ABC transporter superfamily. Macrolide exporter (TC 3.A.1.122) family
183	ABC transporter superfamily. Maltooligosaccharide importer (TC 3.A.1.1.1) family
184	ABC transporter superfamily. Maltose/trehalose importer (TC 3.A.1.1.7) family
185	ABC transporter superfamily. Methionine importer (TC 3.A.1.24) family
186	ABC transporter superfamily. MlaF family
187	ABC transporter superfamily. Molybdate importer (TC 3.A.1.8) family
188	ABC transporter superfamily. MsbA family
189	ABC transporter superfamily. Multidrug exporter LmrA (TC 3.A.1.117.1) family
190	ABC transporter superfamily. Nickel importer (TC 3.A.1.5.3) family
191	ABC transporter superfamily. Nisin exporter (TC 3.A.1.111.3) family
192	ABC transporter superfamily. Nitrate/nitrite/cyanate uptake transporter (NitT) (TC 3.A.1.16) family
193	ABC transporter superfamily. Outer membrane lipopolysaccharide export (TC 1.B.42) family
194	ABC transporter superfamily. Pediocin PA-1 exporter (TC 3.A.1.112.2) family
195	ABC transporter superfamily. Phosphate importer (TC 3.A.1.7) family
196	ABC transporter superfamily. Phosphonate/phosphate importer (TC 3.A.1.9.2) family
197	ABC transporter superfamily. Phosphonates importer (TC 3.A.1.9.1) family
198	ABC transporter superfamily. Protein-1 exporter (TC 3.A.1.109) family
199	ABC transporter superfamily. Ribose importer (TC 3.A.1.2.1) family
200	ABC transporter superfamily. Siderophore- Fe(3+) uptake transporter (SIUT) (TC 3.A.1.21) family
201	ABC transporter superfamily. SkfA peptide export (TC 3.A.1.128.1) family
202	ABC transporter superfamily. sn-glycerol-3- phosphate importer (TC 3.A.1.1.3) family
203	ABC transporter superfamily. Spermidine/putrescine importer (TC 3.A.1.11.1) family
204	ABC transporter superfamily. Sulfate/tungstate importer (TC 3.A.1.6) family
205	ABC transporter superfamily. SunT family
206	ABC transporter superfamily. Taurine importer (TC 3.A.1.17.1) family
207	ABC transporter superfamily. Teichoic acids exporter (TC 3.A.1.104.1) family
208	ABC transporter superfamily. Thiamine importer (TC 3.A.1.19.1) family
209	ABC transporter superfamily. UvrA family
210	ABC transporter superfamily. Vitamin B12 importer (TC 3.A.1.13.1) family
211	ABC transporter superfamily. Xylose importer (TC 3.A.1.2.4) family
212	ABC transporter superfamily. Ycf16 family
213	ABC transporter superfamily. Zinc importer (TC 3.A.1.15.5) family
214	ABC-2 integral membrane protein family
215	ABC-2 integral membrane protein family. Lipooligosaccharide exporter (TC 3.A.1.102) subfamily
216	ABC-3 integral membrane protein family
217	ABC-4 integral membrane protein family
218	ABC-4 integral membrane protein family. FtsX subfamily
219	ABC-4 integral membrane protein family. HrtB subfamily
220	ABC-4 integral membrane protein family. LolC/E subfamily
221	ABC1 family. UbiB subfamily
222	Abd-B homeobox family
223	abd-b homeobox family
224	ABF1 family
225	ABI family
226	ABITRAM family
227	ABP1 family
228	AbrB family
229	abscisic acid and water stress-induced protein family
230	ACBD7 family
231	ACBP family
232	ACC deaminase/D-cysteine desulfhydrase family
233	AccA family
234	AccD/PCCB family
235	accessory Sec system protein Asp1 family
236	accessory Sec system protein Asp2 family
237	accessory Sec system protein Asp3 family
238	ACDP family
239	AceK family
240	acetaldehyde dehydrogenase family
241	acetamidase/formamidase family
242	acetate CoA ligase alpha subunit family
243	acetate CoA ligase beta subunit family
244	acetate uptake transporter (AceTr) (TC 2.A.96) family
245	acetokinase family
246	acetokinase family. PduW subfamily
247	acetokinase family. TdcD subfamily
248	acetolactate synthase small subunit family
249	acetyl-CoA hydrolase/transferase family
250	acetyl-CoA hydrolase/transferase family. Butyryl-CoA CoA-transferase subfamily
251	acetylglutamate kinase family. ArgB subfamily
252	acetylglutamate kinase family. LysZ subfamily
253	acetyltransferase ATAT1 family
254	acetyltransferase Eis family
255	acetyltransferase Eis family.
256	acetyltransferase family
257	acetyltransferase family.
258	acetyltransferase family. AANAT subfamily
259	acetyltransferase family. ARD1 subfamily
260	acetyltransferase family. ArgA subfamily
261	acetyltransferase family. ECO subfamily
262	acetyltransferase family. EctA subfamily
263	acetyltransferase family. FabY subfamily
264	acetyltransferase family. GCN5 subfamily
265	acetyltransferase family. GNA1 subfamily
266	acetyltransferase family. GNAT subfamily
267	acetyltransferase family. MAK3 subfamily
268	acetyltransferase family. MshD subfamily
269	acetyltransferase family. NAA40 subfamily
270	acetyltransferase family. NAA60 subfamily
271	acetyltransferase family. OlsB subfamily
272	acetyltransferase family. PAT/BAR subfamily
273	acetyltransferase family. RimI subfamily
274	acetyltransferase family. RimI subfamily.
275	acetyltransferase family. RimJ subfamily
276	acetyltransferase family. RimL subfamily
277	acetyltransferase family. Ycf52 subfamily
278	acetyltransferase family. YpeA subfamily
279	acetyltransferase YopJ family
280	acid ceramidase family
281	acid sphingomyelinase family
282	acireductone dioxygenase (ARD) family
283	ACL4 family
284	aconitase X family
285	aconitase/IPM isomerase family
286	aconitase/IPM isomerase family. LeuC type 1 subfamily
287	aconitase/IPM isomerase family. LeuC type 2 subfamily
288	AcpH family
289	AcrZ family
290	AcsB/BcsB family
291	AcsC/BcsC family
292	AcsF family
293	actin family
294	actin family. ARP1 subfamily
295	actin family. ARP10 subfamily
296	actin family. ARP2 subfamily
297	actin family. ARP3 subfamily
298	actin family. ARP4 subfamily
299	actin family. ARP5 subfamily
300	actin family. ARP6 subfamily
301	actin family. ARP8 subfamily
302	actin family. Plant ARP7 subfamily
303	actin family. Plant ARP8 subfamily
304	actin-binding proteins ADF family
305	actin-binding proteins ADF family. Coactosin subfamily
306	actin-binding proteins ADF family. GMF subfamily
307	actin-binding proteins ADF family. Twinfilin subfamily
308	actinoporin family. HALT subfamily
309	actinoporin family. Plant subfamily
310	actinoporin family. Sea anemone subfamily
311	activator 1 large subunit family
312	activator 1 small subunits family
313	activator 1 small subunits family. CTF18 subfamily
314	activator 1 small subunits family. RfcL subfamily
315	activator 1 small subunits family. RfcS subfamily
316	acyl carrier protein (ACP) family
317	acyl coenzyme A hydrolase family
318	acyl-ACP thioesterase family
319	acyl-CoA dehydrogenase family
320	acyl-CoA mutase large subunit family
321	acyl-CoA mutase small subunit family
322	acyl-CoA oxidase family
323	acylphosphatase family
324	acyltransferase 3 family
325	acyltransferase 3 family. OpgC subfamily
326	acyltransferase CrtO family
327	acyltransferase PapA5 family
328	ADAD family
329	ADAGIO family
330	adapter complexes large subunit family
331	adapter complexes medium subunit family
332	adaptor complexes large subunit family
333	adaptor complexes medium subunit family
334	adaptor complexes medium subunit family. Delta-COP subfamily
335	adaptor complexes small subunit family
336	ADAT1 family
337	ADC family
338	adenomatous polyposis coli (APC) family
339	adenosylhomocysteinase family
340	adenoviridae ADP family
341	adenoviridae core protein X family
342	adenoviridae core-capsid bridging protein family
343	adenoviridae E19 family
344	adenoviridae E1A protein family
345	adenoviridae E1B 19 kDa protein family
346	adenoviridae E1B 55 kDa protein family
347	adenoviridae E2A DNA-binding protein family
348	adenoviridae E3-RID-alpha family
349	adenoviridae E3_14 family
350	adenoviridae E3_15 family
351	adenoviridae E3_20 family
352	adenoviridae E3_RID-beta family
353	adenoviridae E3A-1 family
354	adenoviridae E3A-2 family
355	adenoviridae E3B family
356	adenoviridae E4 30 to 34 kDa protein family
357	adenoviridae E4 ORF3 family
358	adenoviridae E4 ORF4 family
359	adenoviridae E4-ORF1 family
360	adenoviridae fiber family
361	adenoviridae hexon protein family
362	adenoviridae hexon-interlacing protein family
363	adenoviridae hexon-linking protein family
364	adenoviridae hexon-linking protein IIIa family
365	adenoviridae histone-like nucleoprotein family
366	adenoviridae leader protein family
367	adenoviridae packaging protein 1 family
368	adenoviridae packaging protein 3 family
369	adenoviridae penton family
370	adenoviridae protein VI family
371	adenoviridae pVIII family
372	adenoviridae pX family
373	adenoviridae shutoff protein family
374	adenoviridae splicing factor family
375	adenoviridae terminal protein family
376	adenylate cyclase family. DacA/CdaA subfamily
377	adenylate cyclase family. DacB/CdaS subfamily
378	adenylate cyclase family. DacZ subfamily
379	adenylate kinase family
380	adenylate kinase family. AK1 subfamily
381	adenylate kinase family. AK2 subfamily
382	adenylate kinase family. AK3 subfamily
383	adenylate kinase family. AK6 subfamily
384	adenylate kinase family. UMP-CMP kinase subfamily
385	adenylate-forming reductase family
386	adenylosuccinate synthetase family
387	adenylyl cyclase class-1 family
388	adenylyl cyclase class-2 family
389	adenylyl cyclase class-3 family
390	adenylyl cyclase class-4/guanylyl cyclase family
391	adenylyl cyclase class-4/guanylyl cyclase family. Pyrimidine cyclase subfamily
392	adenylyl cyclase CyaB family
393	adhesin P1 family
394	adhesin PapG family
395	ADIP family
396	adipogenin family
397	adipolin/erythroferrone family
398	ADIPOR family
399	ADISSP family
400	adn1/SEU family
401	AdoMet synthase 2 family
402	AdoMet synthase family
403	AdoMet synthetase 2 family
404	ADP-dependent glucokinase family
405	ADP-ribosyl cyclase family
406	ADP-ribosylglycohydrolase family
407	ADP-ribosylglycohydrolase family. J1 crystallin subfamily
408	ADP/ATP translocase tlc (TC 2.A.12.2) family
409	ADP/ATP translocase tlc family
410	ADPRibase-Mn family
411	adrenodoxin/putidaredoxin family
412	adrenomedullin family
413	ADRM1 family
414	aegerolysin family
415	AEP1 family
416	AEP2 family
417	aequorin family
418	aerobic coproporphyrinogen-III oxidase family
419	aerolysin family
420	AF4 family
421	AFG1 ATPase family
422	AFG1 ATPase family. ZapE subfamily
423	AFI1/mesA family
424	AflY oxidoreductase family
425	AfsA family
426	AfsR/DnrI/RedD regulatory family
427	afumC glycosyltransferase family
428	AG-peptide AGP family
429	aggrecan/versican proteoglycan family
430	AGK family
431	AglR/Agl15 family
432	agmatine deiminase family
433	AGR family
434	AgrB family
435	AHA1 family
436	Ahb/Nir family
437	AhpD family
438	AHSP family
439	AIDA family
440	AIG1 family
441	AIM18/AIM46 family
442	AIM19 family
443	AIM2 family
444	AIM21 family
445	AIM23 family
446	AIM24 family
447	AIM3 family
448	AIM31 family
449	AIM32 family
450	AIM34 family
451	AIM4 family
452	AIM41 family
453	AIM9 family
454	AIR carboxylase family. Class I subfamily
455	AIR carboxylase family. Class II subfamily
456	AIR synthase family
457	AIR1 family
458	AKAP110 family
459	AKAP95 family
460	AKH/HRTH/RPCH family
461	AKNA family
462	ALAD family
463	AlaDH/PNT family
464	AlaDH/PNT family. CEOS subfamily
465	AlaE exporter family
466	alanine or glycine:cation symporter (AGCS) (TC 2.A.25) family
467	alanine racemase family
468	alanine racemase family. Bsr subfamily
469	ALB/AFP/VDB family
470	ALB1 family
471	alcohol acetyltransferase FCK4 family
472	aldehyde decarbonylase family
473	aldehyde dehydrogenase family
474	aldehyde dehydrogenase family. AstD subfamily
475	aldehyde dehydrogenase family. Gamma- aminobutyraldehyde dehydrogenase subfamily
476	aldehyde dehydrogenase family. Glyceraldehyde dehydrogenase subfamily
477	aldehyde dehydrogenase family. IolA subfamily
478	aldehyde dehydrogenase family. RocA subfamily
479	aldo/keto reductase 13 family
480	aldo/keto reductase family
481	aldo/keto reductase family. Aldo/keto reductase 11 subfamily
482	aldo/keto reductase family. Aldo/keto reductase 13 subfamily
483	aldo/keto reductase family. Aldo/keto reductase 2 subfamily
484	aldo/keto reductase family. Glutamate-- cysteine ligase light chain subfamily
485	aldolase class II family
486	aldolase class II family. Adducin subfamily
487	aldolase class II family. AraD/FucA subfamily
488	aldolase class II family. MtnB subfamily
489	aldolase class II family. RhaD subfamily
490	aldolase LacD family
491	aldose epimerase family
492	alfamovirus movement protein family
493	Alfin family
494	ALG10 glucosyltransferase family
495	ALG14 family
496	ALG3 family
497	Alg44 family
498	ALG6/ALG8 glucosyltransferase family
499	AlgE family
500	AlgF family
501	AlgJ family
502	AlgK family
503	AlgX family
504	ALKAL family
505	alkaline ceramidase family
506	alkaline phosphatase family
507	alkaline phosphatase family. PhnA subfamily
508	alkaline phosphatase superfamily
509	alkB family
510	alkylbase DNA glycosidase AlkA family
511	allantoicase family
512	allatostatin family
513	allene oxide cyclase family
514	alliinase family
515	ALMS1 family
516	alpha-2-MRAP family
517	alpha-acetolactate decarboxylase family
518	alpha-actinin family
519	alpha-carbonic anhydrase family
520	alpha-casein family
521	alpha-class carbonic anhydrase family
522	alpha-defensin family
523	alpha-defensin family. Theta subfamily
524	alpha-IPM synthase/homocitrate synthase family
525	alpha-IPM synthase/homocitrate synthase family. Homocitrate synthase LYS20/LYS21 subfamily
526	alpha-IPM synthase/homocitrate synthase family. LeuA type 1 subfamily
527	alpha-IPM synthase/homocitrate synthase family. LeuA type 2 subfamily
528	alpha-ketoglutarate dehydrogenase family
529	alpha-type phospholipase A2 inhibitor family
530	alpha/beta interferon family
531	alpha/beta interferon family. IFN-alphaII subfamily
532	alpha/beta-type SASP family
533	alphabaculovirus IE2 protein family
534	alphacoronavirus nucleocapsid protein family
535	alphacoronaviruses E protein family
536	alphacoronaviruses M protein family
537	alphacoronaviruses spike protein family
538	alphaherpesvirinae envelope protein US9 family
539	alphaherpesvirinae glycoprotein E family
540	alphaherpesvirinae glycoprotein G family
541	alphaherpesvirinae glycoprotein I family
542	alphaherpesvirinae glycoprotein J family
543	alphaherpesvirinae glycoprotein K family
544	alphaherpesvirinae HHV-1 UL14 protein family
545	alphaherpesvirinae HHV-1 UL21 protein family
546	alphaherpesvirinae HHV-1 UL3 family
547	alphaherpesvirinae HHV-1 UL4 family
548	alphaherpesvirinae HHV-1 UL43 family
549	alphaherpesvirinae HHV-1 UL47 family
550	alphaherpesvirinae HHV-1 UL55 family
551	alphaherpesvirinae UL20 family
552	alphaherpesvirinae UL21 protein family
553	alphaherpesvirinae VP22 tegument protein family
554	alphamovirus/ilarvirus capsid protein family
555	alphaproteobacteria porin family
556	Alpharetroviruses envelope glycoprotein family
557	alphavirus frameshifted structural polyprotein family
558	alphavirus structural polyprotein family
559	ALS family
560	ALTA1 family
561	alternative oxidase family
562	alternative ribosome-rescue factor A family
563	ALY1 family
564	ALYREF family
565	ameloblastin family
566	amelogenin family
567	amelotin family
568	Amer family
569	amidase family
570	amidase family. GatA subfamily
571	amiloride-sensitive sodium channel (TC 1.A.6) family
572	amiloride-sensitive sodium channel (TC 1.A.6) family. ASIC1 subfamily
573	amiloride-sensitive sodium channel (TC 1.A.6) family. ASIC2 subfamily
574	amiloride-sensitive sodium channel (TC 1.A.6) family. ASIC3 subfamily
575	amiloride-sensitive sodium channel (TC 1.A.6) family. ASIC4 subfamily
576	amiloride-sensitive sodium channel (TC 1.A.6) family. ASIC5 subfamily
577	amiloride-sensitive sodium channel (TC 1.A.6) family. SCNN1A subfamily
578	amiloride-sensitive sodium channel (TC 1.A.6) family. SCNN1B subfamily
579	amiloride-sensitive sodium channel (TC 1.A.6) family. SCNN1D subfamily
580	amiloride-sensitive sodium channel (TC 1.A.6) family. SCNN1G subfamily
581	amino acid-polyamine-organocation (APC) superfamily
582	amino acid-polyamine-organocation (APC) superfamily. AGT (TC 2.A.3.11) family
583	amino acid-polyamine-organocation (APC) superfamily. Amino acid efflux (AAE) (TC 2.A.3.13) family
584	amino acid-polyamine-organocation (APC) superfamily. Amino acid transporter (AAT) (TC 2.A.3.1) family
585	amino acid-polyamine-organocation (APC) superfamily. Amino acid/choline transporter (ACT) (TC 2.A.3.4) family
586	amino acid-polyamine-organocation (APC) superfamily. Basic amino acid/polyamine antiporter (APA) (TC 2.A.3.2) family
587	amino acid-polyamine-organocation (APC) superfamily. Cationic amino acid transporter (CAT) (TC 2.A.3.3) family
588	amino acid-polyamine-organocation (APC) superfamily. Glutamate:GABA antiporter (GGA) (TC 2.A.3.7) family
589	amino acid-polyamine-organocation (APC) superfamily. L-type amino acid transporter (LAT) (TC 2.A.3.8) family
590	amino acid-polyamine-organocation (APC) superfamily. Polyamine:cation symporter (PHS) (TC 2.A.3.12) family
591	amino acid-polyamine-organocation (APC) superfamily. Spore germination protein (SGP) (TC 2.A.3.9) family
592	amino acid-polyamine-organocation (APC) superfamily. YAT (TC 2.A.3.10) family
593	amino acid/polyamine transporter 2 family
594	amino acid/polyamine transporter 2 family. Amino acid/auxin permease (AAAP) (TC 2.A.18.1) subfamily
595	amino acid/polyamine transporter 2 family. Amino acid/auxin permease (AAAP) (TC 2.A.18.2) subfamily
596	amino acid/polyamine transporter 2 family. Amino acid/auxin permease (AAAP) (TC 2.A.18.3) subfamily
597	amino acid/polyamine transporter 2 family. Amino acid/auxin permease (AAAP) (TC 2.A.18.5) subfamily
598	amino acid/polyamine transporter 2 family. Amino acid/auxin permease (AAAP) (TC 2.A.18.6) subfamily
599	amino acid/polyamine transporter 2 family. Amino acid/auxin permease (AAAP) (TC 2.A.18.8) subfamily
600	amino acid/polyamine transporter 2 family. Mtr/TnaB/TyrP permease subfamily
601	amino acid/polyamine transporter 2 family. SdaC/TdcC subfamily
602	amino acid/polyamine transporter 2 family. SLC38A9 subfamily
603	aminoglycoside phosphotransferase family
604	AmiS/UreI family
605	Amj family
606	ammonia transporter channel (TC 1.A.11.2) family
607	ammonium transporter (TC 2.A.49) family. Rh subfamily
608	AMN1 family
609	AMP family
610	AMP nucleosidase family
611	AMT4 thioesterase family
612	anaerobic coproporphyrinogen-III oxidase family
613	anaerobic coproporphyrinogen-III oxidase family. ChuW/HutW subfamily
614	anaerobic coproporphyrinogen-III oxidase family. HemW subfamily
615	anaerobic coproporphyrinogen-III oxidase family. HemZ subfamily
616	anaerobic G-3-P dehydrogenase subunit B family
617	anaerobic ribonucleoside-triphosphate reductase family
618	anamorsin family
619	andropin family
620	anelloviridae capsid protein family
621	ANF homeobox family
622	ANF receptor family
623	angiomotin family
624	anhydro-N-acetylmuramic acid kinase family
625	anion channel-forming bestrophin (TC 1.A.46) family
626	anion channel-forming bestrophin (TC 1.A.46) family. Calcium-sensitive chloride channel subfamily
627	anion channel-forming bestrophin (TC 1.A.46) family. Voltage-dependent chloride channel subfamily
628	anion exchanger (TC 2.A.31) family
629	anion exchanger (TC 2.A.31.3) family
630	ANKH family
631	ANKLE2 family
632	ANKRD34 family
633	ANKRD36 family
634	ANKRD39 family
635	ankyrin SOCS box (ASB) family
636	ANKZF1/VMS1 family
637	annexin (TC 1.A.31.1) family
638	annexin family
639	annexin family. Giardin subunit alpha subfamily
640	anoctamin (TC 1.A.17) family
